station_code;location_code;location_name;country_code;country_code_border;y_coord;x_coord;y_coord_end;x_coord_end;catchment;altitude;distance_to_mouth;distance_to_mouth_end;river;remark
JDS25;M;Paks;HU;;46.633733;18.880417;;;;;1532;;;
JDS25;R;Paks;HU;;46.633183;18.877350;;;;;1532;;;
JDS26;L;Baja;HU;;46.201150;18.925183;;;;;1481;;;
JDS26;M;Baja;HU;;46.200533;18.923500;;;;;1481;;;
JDS26;R;Baja;HU;;46.199900;18.922617;;;;;1481;;;
JDS27;L;Hercegszanto;HU;;45.915567;18.807500;;;;;1434;;;
JDS27;M;Hercegszanto;HU;;45.914550;18.805933;;;;;1434;;;
JDS27;R;Hercegszanto;HU;;45.913033;18.803350;;;;;1434;;;
JDS28;L;Upstream Drava;HR;RS;45.556183;18.914550;;;;;1384;;;
JDS28;M;Upstream Drava;HR;RS;45.555367;18.914483;;;;;1384;;;
JDS28;R;Upstream Drava;HR;RS;45.553867;18.914550;;;;;1384;;;
JDS29;L;/Drava (rkm 1.4);HR;;45.546400;18.912950;;;;;1379;;;
JDS29;M;/Drava (rkm 1.4);HR;;45.545850;18.915150;;;;;1379;;;
JDS29;R;/Drava (rkm 1.4);HR;;45.545117;18.915617;;;;;1379;;;
JDS30;L;Downstream Drava (Erdut/Bogojevo);HR;RS;45.529517;19.078417;;;;;1367;;;
JDS30;M;Downstream Drava (Erdut/Bogojevo);HR;RS;45.528633;19.076783;;;;;1367;;;
JDS30;R;Downstream Drava (Erdut/Bogojevo);HR;RS;45.529483;19.070083;;;;;1367;;;
JDS31;L;Ilok/Backa Palanka;HR;RS;45.232883;19.361783;;;;;1300;;;
JDS31;M;Ilok/Backa Palanka;HR;RS;45.231583;19.360600;;;;;1300;;;
JDS31;R;Ilok/Backa Palanka;HR;RS;45.229700;19.361933;;;;;1300;;;
JDS32;L;Upstream Novi-Sad;RS;;45.223400;19.803733;;;;;1262;;;
JDS32;M;Upstream Novi-Sad;RS;;45.221717;19.801300;;;;;1262;;;
JDS32;R;Upstream Novi-Sad;RS;;45.217867;19.803600;;;;;1262;;;
JDS33;L;Downstream Novi-Sad;RS;;45.261617;19.887133;;;;;1252;;;
JDS33;M;Downstream Novi-Sad;RS;;45.261050;19.885750;;;;;1252;;;
JDS33;R;Downstream Novi-Sad;RS;;45.259233;19.885033;;;;;1252;;;
JDS34;L;Upstream Tisa (Stari Slankamen);RS;;45.148250;20.262017;;;;;1216;;;
JDS34;M;Upstream Tisa (Stari Slankamen);RS;;45.147483;20.258917;;;;;1216;;;
JDS34;R;Upstream Tisa (Stari Slankamen);RS;;45.147083;20.255850;;;;;1216;;;
JDS35;L;/Tisa (rkm 1.0);RS;;45.146400;20.282067;;;;;1215;;;
JDS35;M;/Tisa (rkm 1.0);RS;;45.147000;20.280867;;;;;1215;;;
JDS35;R;/Tisa (rkm 1.0);RS;;45.146850;20.279167;;;;;1215;;;
JDS36;L;Downstream Tisa/Upstream Sava (Belegis);RS;;45.016867;20.367083;;;;;1199;;;
JDS36;M;Downstream Tisa/Upstream Sava (Belegis);RS;;45.017500;20.365000;;;;;1199;;;
JDS36;R;Downstream Tisa/Upstream Sava (Belegis);RS;;45.017500;20.362900;;;;;1199;;;
JDS37;L;/Sava (rkm 7.0);RS;;44.792900;20.393850;;;;;1170;;;
JDS37;M;/Sava (rkm 7.0);RS;;44.793000;20.396067;;;;;1170;;;
JDS37;R;/Sava (rkm 7.0);RS;;44.792683;20.397117;;;;;1170;;;
