Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
14089-52-2;;;;0.001;;;;0.001;;;;;;;;;0.001;0.001;;;;;;;;;;;0.001;;;;;;;;;;;;;;;;;;;0.001;0.003;;0.001;;;;;;;;;;;;;;;;;
1461-25-2;;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000002;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;;0.0000001;0.0000001
14797-65-0;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;0.015;0.015;0.015;0.015;0.015;;0.015;;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
14798-03-9;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;;;;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;;0.048;0.048;;0.048;;;0.048;0.048;0.048
152019-73-3;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
15307-79-6;0.0225;0.021666667;0.021666667;0.0225;0.02125;0.02125;0.02125;0.025;0.021666667;0.0225;0.02125;0.02125;0.02125;0.02125;0.02125;0.015286667;0.02125;0.021666667;0.02125;0.021666667;0.021666667;0.021666667;0.02125;0.02125;0.021666667;0.02125;0.02125;0.02125;0.02125;0.02125;0.016465;0.02125;0.017172;0.02125;0.0225;0.025;0.025;0.025;0.025;0.01293;0.01293;0.01293;0.025;0.025;0.02125;0.01293;0.025;0.01293;0.01293;0.025;0.01293;0.05;0.01293;;0.01293;0.02125;0.025;0.01293;0.025;0.025;0.025;0.01293;0.01293;0.025;0.025;0.02125;0.02125;0.016465
15545-48-9;0.01276;0.025;0.025;0.01276;0.025;0.025;0.025;0.025;0.025;0.01276;0.025;0.01276;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.01276;0.025;0.01276;0.01276;0.01276;0.025;0.01276;0.025;0.025;0.025;0.025;0.025;0.01276;0.025;0.025;0.025;0.025;0.025;0.025;0.01276;0.01276;0.025;0.01276;0.025;0.025;0.025;0.01276;0.01276;0.01276;0.01276;0.025;0.025;0.01276;0.01276;0.025;0.025
15687-27-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1622-61-3;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
1622-62-4;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;;0.001;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
1698-60-8;0.025;0.01268;0.01268;0.025;0.01268;0.025;0.01268;0.01268;0.01268;0.025;0.01268;0.025;0.01268;0.01268;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.01268;0.025;0.01268;0.01268;0.025;0.01268;0.01268;0.025;0.01268;0.025;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268;0.01268
