!LandUse: 1=Lakes;	2=Glacier, permanent snow;	3=Sealed urban area;	4=Broad leaved forest;	5=Needle leaved forest;	6=Mixed forest;	7=Agricultural land - rainfed;	8=Agricultural land - irrigated;	9=Agricultural land - Permanent crops;	10=Pastures;	11=Irrigated pastures;	12=Open with veg;	13=Open without veg;	14=Wetland;	15=River
!Soil: 1=Coarse;	2=Medium;	3=Medium-fine to very fine;	4=Organic;	5=No texture, rock, lakes etc;	6=Shallow;	7=Moraine;	8=Shallow for rice							
!Crops: 1=Pasture Irrigated; 2=Pasture Rainfed; 3=Perennial Irrigated; 4=Perennial Rainfed; 5=Rice Irrigated; 6=Seasonal Irrigated Autumn-sown; 7=Seasonal Irrigated Spring-sown; 8=Seasonal Rainfed Autumn-sown; 9=Seasonal Rainfed Spring-sown														
!combination	Landuse	Soiltype	cropid-main	cropid-2nd	rotation	vegetationstyp	special-class	tile-depth	drain-depth	#soil-layers	depth1	depth2	depth3	
64	7	4	9	0	7	1	0	0.75	1.25	3	0.25	0.75	1.5	
65	7	7	9	0	9	1	0	0.75	1.25	3	0.25	0.75	1.5	
66	8	8	5	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
67	8	1	6	0	0	1	0	0	2	3	0.25	1	2.5	
68	8	2	6	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
69	8	3	6	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
70	8	4	6	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
71	8	1	7	0	2	1	0	0	2	3	0.25	1	2.5	
72	8	2	7	0	4	1	0	0.75	1.25	3	0.25	0.75	1.5	
73	8	3	7	0	6	1	0	0.75	1.25	3	0.25	0.75	1.5	
74	8	4	7	0	8	1	0	0.75	1.25	3	0.25	0.75	1.5	
75	8	7	7	0	10	1	0	0.75	1.25	3	0.25	0.75	1.5	
