Label,X,Y
JDS12,16.972,48.173
JDS16,17.781583,47.736167
JDS18,18.14295,47.760283
JDS23,18.9782,47.033983
JDS29,18.91515,45.54585
JDS35,20.280867,45.147
JDS37,20.396067,44.793
JDS41,21.0357,44.709267
JDS48,22.67215,44.214917
JDS51,24.443817,43.7299
JDS54,25.569867,43.637483
JDS56,25.930917,43.834817
JDS58,26.617831,44.061522
JDS63,28.0108,45.399083
JDS64,28.197,45.471567
